candidate,party,office,district,town,votes,precinct
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,13,Bd Of Ed Central Office - Cafeteria
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,6,Bd Of Ed Central Office - Cafeteria
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,4,Bd Of Ed Central Office - Cafeteria
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,24,Bd Of Ed Central Office - Cafeteria
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,24,Bd Of Ed Central Office - Cafeteria
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,25,Bd Of Ed Central Office - Cafeteria
Dita Bhargava,Democratic Party,Treasurer,,Killingly,0,Bd Of Ed Central Office - Cafeteria
Dita Bhargava,Democratic Party,Treasurer,,Killingly,5,Bd Of Ed Central Office - Cafeteria
Dita Bhargava,Democratic Party,Treasurer,,Killingly,5,Bd Of Ed Central Office - Cafeteria
Dita Bhargava,Democratic Party,Treasurer,,Killingly,10,Bd Of Ed Central Office - Cafeteria
Erick Russell,Democratic Party,Treasurer,,Killingly,3,Bd Of Ed Central Office - Cafeteria
Erick Russell,Democratic Party,Treasurer,,Killingly,17,Bd Of Ed Central Office - Cafeteria
Erick Russell,Democratic Party,Treasurer,,Killingly,20,Bd Of Ed Central Office - Cafeteria
Erick Russell,Democratic Party,Treasurer,,Killingly,25,Bd Of Ed Central Office - Cafeteria
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,1,Bd Of Ed Central Office - Cafeteria
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,5,Bd Of Ed Central Office - Cafeteria
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,7,Bd Of Ed Central Office - Cafeteria
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,8,Bd Of Ed Central Office - Cafeteria
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,1,Bd Of Ed Central Office - Cafeteria
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,25,Bd Of Ed Central Office - Cafeteria
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,30,Bd Of Ed Central Office - Cafeteria
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,49,Bd Of Ed Central Office - Cafeteria
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,4,Bd Of Ed Central Office - Cafeteria
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,17,Bd Of Ed Central Office - Cafeteria
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,29,Bd Of Ed Central Office - Cafeteria
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,41,Bd Of Ed Central Office - Cafeteria
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,4,Bd Of Ed Central Office - Cafeteria
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,19,Bd Of Ed Central Office - Cafeteria
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,33,Bd Of Ed Central Office - Cafeteria
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,62,Bd Of Ed Central Office - Cafeteria
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,0,Bd Of Ed Central Office - Cafeteria
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,12,Bd Of Ed Central Office - Cafeteria
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,13,Bd Of Ed Central Office - Cafeteria
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,17,Bd Of Ed Central Office - Cafeteria
Themis Klarides,Republican Party,U.S. Senate,,Killingly,1,Bd Of Ed Central Office - Cafeteria
Themis Klarides,Republican Party,U.S. Senate,,Killingly,14,Bd Of Ed Central Office - Cafeteria
Themis Klarides,Republican Party,U.S. Senate,,Killingly,14,Bd Of Ed Central Office - Cafeteria
Themis Klarides,Republican Party,U.S. Senate,,Killingly,16,Bd Of Ed Central Office - Cafeteria
Maritza Bond,Democratic Party,Secretary of the State,,Hamden,0,Bear Path School
Maritza Bond,Democratic Party,Secretary of the State,,Hamden,122,Bear Path School
Stephanie Thomas,Democratic Party,Secretary of the State,,Hamden,0,Bear Path School
Stephanie Thomas,Democratic Party,Secretary of the State,,Hamden,264,Bear Path School
Dita Bhargava,Democratic Party,Treasurer,,Hamden,0,Bear Path School
Dita Bhargava,Democratic Party,Treasurer,,Hamden,54,Bear Path School
Erick Russell,Democratic Party,Treasurer,,Hamden,0,Bear Path School
Erick Russell,Democratic Party,Treasurer,,Hamden,217,Bear Path School
Karen Dubois-Walton,Democratic Party,Treasurer,,Hamden,0,Bear Path School
Karen Dubois-Walton,Democratic Party,Treasurer,,Hamden,116,Bear Path School
Dominic Rapini,Republican Party,Secretary of the State,,Hamden,0,Bear Path School
Dominic Rapini,Republican Party,Secretary of the State,,Hamden,86,Bear Path School
Terrie E. Wood,Republican Party,Secretary of the State,,Hamden,0,Bear Path School
Terrie E. Wood,Republican Party,Secretary of the State,,Hamden,56,Bear Path School
Leora R. Levy,Republican Party,U.S. Senate,,Hamden,0,Bear Path School
Leora R. Levy,Republican Party,U.S. Senate,,Hamden,66,Bear Path School
Peter Lumaj,Republican Party,U.S. Senate,,Hamden,0,Bear Path School
Peter Lumaj,Republican Party,U.S. Senate,,Hamden,7,Bear Path School
Themis Klarides,Republican Party,U.S. Senate,,Hamden,0,Bear Path School
Themis Klarides,Republican Party,U.S. Senate,,Hamden,70,Bear Path School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,22,Beardsley School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,82,Beardsley School
Dennis Bradley,Democratic Party,State Senate,23,Bridgeport,37,Beardsley School
Herron Gaston,Democratic Party,State Senate,23,Bridgeport,81,Beardsley School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,17,Beardsley School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,74,Beardsley School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,14,Beardsley School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,6,Beardsley School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,3,Beardsley School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,4,Beardsley School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,4,Beardsley School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,7,Beardsley School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,0,Beardsley School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,2,Beardsley School
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,78,Beecher School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,109,Beecher School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,16,Beecher School
Erick Russell,Democratic Party,Treasurer,,New Haven,103,Beecher School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,74,Beecher School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,4,Beecher School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,4,Beecher School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,5,Beecher School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,1,Beecher School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,2,Beecher School
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,55,Bella Vista 11-01
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,98,Bella Vista 11-01
Dita Bhargava,Democratic Party,Treasurer,,New Haven,14,Bella Vista 11-01
Erick Russell,Democratic Party,Treasurer,,New Haven,77,Bella Vista 11-01
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,69,Bella Vista 11-01
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,10,Bella Vista 11-01
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,11,Bella Vista 11-01
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,9,Bella Vista 11-01
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,5,Bella Vista 11-01
Themis Klarides,Republican Party,U.S. Senate,,New Haven,6,Bella Vista 11-01
Maritza Bond,Democratic Party,Secretary of the State,,Greenwich,15,Bendheim Western Greenwich Civic Center
Stephanie Thomas,Democratic Party,Secretary of the State,,Greenwich,144,Bendheim Western Greenwich Civic Center
Dita Bhargava,Democratic Party,Treasurer,,Greenwich,62,Bendheim Western Greenwich Civic Center
Erick Russell,Democratic Party,Treasurer,,Greenwich,86,Bendheim Western Greenwich Civic Center
Karen Dubois-Walton,Democratic Party,Treasurer,,Greenwich,14,Bendheim Western Greenwich Civic Center
Dominic Rapini,Republican Party,Secretary of the State,,Greenwich,163,Bendheim Western Greenwich Civic Center
Terrie E. Wood,Republican Party,Secretary of the State,,Greenwich,100,Bendheim Western Greenwich Civic Center
Jayme Stevenson,Republican Party,U.S. House,4,Greenwich,104,Bendheim Western Greenwich Civic Center
Michael Ted Goldstein,Republican Party,U.S. House,4,Greenwich,166,Bendheim Western Greenwich Civic Center
Leora R. Levy,Republican Party,U.S. Senate,,Greenwich,184,Bendheim Western Greenwich Civic Center
Peter Lumaj,Republican Party,U.S. Senate,,Greenwich,12,Bendheim Western Greenwich Civic Center
Themis Klarides,Republican Party,U.S. Senate,,Greenwich,80,Bendheim Western Greenwich Civic Center
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,100,Benjamin Jepson Magnet School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,67,Benjamin Jepson Magnet School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,15,Benjamin Jepson Magnet School
Erick Russell,Democratic Party,Treasurer,,New Haven,89,Benjamin Jepson Magnet School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,62,Benjamin Jepson Magnet School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,12,Benjamin Jepson Magnet School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,6,Benjamin Jepson Magnet School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,10,Benjamin Jepson Magnet School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,Benjamin Jepson Magnet School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,11,Benjamin Jepson Magnet School
Maritza Bond,Democratic Party,Secretary of the State,,Manchester,45,Bennet Academy - Cone Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Manchester,127,Bennet Academy - Cone Gym
Dita Bhargava,Democratic Party,Treasurer,,Manchester,43,Bennet Academy - Cone Gym
Erick Russell,Democratic Party,Treasurer,,Manchester,93,Bennet Academy - Cone Gym
Karen Dubois-Walton,Democratic Party,Treasurer,,Manchester,36,Bennet Academy - Cone Gym
Dominic Rapini,Republican Party,Secretary of the State,,Manchester,33,Bennet Academy - Cone Gym
Terrie E. Wood,Republican Party,Secretary of the State,,Manchester,28,Bennet Academy - Cone Gym
Leora R. Levy,Republican Party,U.S. Senate,,Manchester,44,Bennet Academy - Cone Gym
Peter Lumaj,Republican Party,U.S. Senate,,Manchester,7,Bennet Academy - Cone Gym
Themis Klarides,Republican Party,U.S. Senate,,Manchester,14,Bennet Academy - Cone Gym
Maritza Bond,Democratic Party,Secretary of the State,,Bethel,37,Bethel Municipal Center 1
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethel,147,Bethel Municipal Center 1
Dita Bhargava,Democratic Party,Treasurer,,Bethel,44,Bethel Municipal Center 1
Erick Russell,Democratic Party,Treasurer,,Bethel,108,Bethel Municipal Center 1
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethel,31,Bethel Municipal Center 1
Dominic Rapini,Republican Party,Secretary of the State,,Bethel,86,Bethel Municipal Center 1
Terrie E. Wood,Republican Party,Secretary of the State,,Bethel,70,Bethel Municipal Center 1
Leora R. Levy,Republican Party,U.S. Senate,,Bethel,91,Bethel Municipal Center 1
Peter Lumaj,Republican Party,U.S. Senate,,Bethel,15,Bethel Municipal Center 1
Themis Klarides,Republican Party,U.S. Senate,,Bethel,61,Bethel Municipal Center 1
Maritza Bond,Democratic Party,Secretary of the State,,Bethlehem,8,Bethlehem Town Office Building Room 1
Maritza Bond,Democratic Party,Secretary of the State,,Bethlehem,21,Bethlehem Town Office Building Room 1
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethlehem,17,Bethlehem Town Office Building Room 1
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethlehem,64,Bethlehem Town Office Building Room 1
Dita Bhargava,Democratic Party,Treasurer,,Bethlehem,9,Bethlehem Town Office Building Room 1
Dita Bhargava,Democratic Party,Treasurer,,Bethlehem,16,Bethlehem Town Office Building Room 1
Erick Russell,Democratic Party,Treasurer,,Bethlehem,15,Bethlehem Town Office Building Room 1
Erick Russell,Democratic Party,Treasurer,,Bethlehem,46,Bethlehem Town Office Building Room 1
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethlehem,3,Bethlehem Town Office Building Room 1
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethlehem,23,Bethlehem Town Office Building Room 1
Dominic Rapini,Republican Party,Secretary of the State,,Bethlehem,44,Bethlehem Town Office Building Room 1
Dominic Rapini,Republican Party,Secretary of the State,,Bethlehem,76,Bethlehem Town Office Building Room 1
Terrie E. Wood,Republican Party,Secretary of the State,,Bethlehem,28,Bethlehem Town Office Building Room 1
Terrie E. Wood,Republican Party,Secretary of the State,,Bethlehem,37,Bethlehem Town Office Building Room 1
Leora R. Levy,Republican Party,U.S. Senate,,Bethlehem,35,Bethlehem Town Office Building Room 1
Leora R. Levy,Republican Party,U.S. Senate,,Bethlehem,59,Bethlehem Town Office Building Room 1
Peter Lumaj,Republican Party,U.S. Senate,,Bethlehem,6,Bethlehem Town Office Building Room 1
Peter Lumaj,Republican Party,U.S. Senate,,Bethlehem,17,Bethlehem Town Office Building Room 1
Themis Klarides,Republican Party,U.S. Senate,,Bethlehem,36,Bethlehem Town Office Building Room 1
Themis Klarides,Republican Party,U.S. Senate,,Bethlehem,49,Bethlehem Town Office Building Room 1
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,37,Betsy Ross Magnet School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,32,Betsy Ross Magnet School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,5,Betsy Ross Magnet School
Erick Russell,Democratic Party,Treasurer,,New Haven,43,Betsy Ross Magnet School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,31,Betsy Ross Magnet School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,5,Betsy Ross Magnet School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,0,Betsy Ross Magnet School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,5,Betsy Ross Magnet School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,Betsy Ross Magnet School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,0,Betsy Ross Magnet School
Maritza Bond,Democratic Party,Secretary of the State,,Middletown,117,Bielefield School - District 11
Stephanie Thomas,Democratic Party,Secretary of the State,,Middletown,238,Bielefield School - District 11
Dita Bhargava,Democratic Party,Treasurer,,Middletown,69,Bielefield School - District 11
Erick Russell,Democratic Party,Treasurer,,Middletown,201,Bielefield School - District 11
Karen Dubois-Walton,Democratic Party,Treasurer,,Middletown,82,Bielefield School - District 11
Dominic Rapini,Republican Party,Secretary of the State,,Middletown,100,Bielefield School - District 11
Terrie E. Wood,Republican Party,Secretary of the State,,Middletown,68,Bielefield School - District 11
Leora R. Levy,Republican Party,U.S. Senate,,Middletown,106,Bielefield School - District 11
Peter Lumaj,Republican Party,U.S. Senate,,Middletown,17,Bielefield School - District 11
Themis Klarides,Republican Party,U.S. Senate,,Middletown,63,Bielefield School - District 11
Maritza Bond,Democratic Party,Secretary of the State,,Middletown,0,Bielefield School - District 12
Stephanie Thomas,Democratic Party,Secretary of the State,,Middletown,0,Bielefield School - District 12
Dita Bhargava,Democratic Party,Treasurer,,Middletown,0,Bielefield School - District 12
Erick Russell,Democratic Party,Treasurer,,Middletown,0,Bielefield School - District 12
Karen Dubois-Walton,Democratic Party,Treasurer,,Middletown,0,Bielefield School - District 12
Dominic Rapini,Republican Party,Secretary of the State,,Middletown,0,Bielefield School - District 12
Terrie E. Wood,Republican Party,Secretary of the State,,Middletown,0,Bielefield School - District 12
Leora R. Levy,Republican Party,U.S. Senate,,Middletown,0,Bielefield School - District 12
Peter Lumaj,Republican Party,U.S. Senate,,Middletown,0,Bielefield School - District 12
Themis Klarides,Republican Party,U.S. Senate,,Middletown,0,Bielefield School - District 12
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,20,Bishop Woods School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,15,Bishop Woods School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,4,Bishop Woods School
Erick Russell,Democratic Party,Treasurer,,New Haven,18,Bishop Woods School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,15,Bishop Woods School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,4,Bishop Woods School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,3,Bishop Woods School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,8,Bishop Woods School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,Bishop Woods School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,1,Bishop Woods School
